stretch, pk1
1.00, 0.00
1.04, 0.09
1.08, 0.16
1.12, 0.24
1.14, 0.26
1.20, 0.33
1.31, 0.44
1.42, 0.51
1.69, 0.65
1.94, 0.77
2.49, 0.96
3.03, 1.24
3.43, 1.45
3.75, 1.72
4.03, 1.96
4.26, 2.22
4.44, 2.43
